Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt5838588,2026-02-13,2026-02-13,,"God of War","God of War",https://www.imdb.com/title/tt5838588/,Video Game,9.5,,2018,"Action, Adventure, Drama, Fantasy",45405,2018-04-20,"Cory Barlog",,
2,tt13119450,2026-02-13,2026-02-13,,"God of War: Ragnarök","God of War Ragnarök",https://www.imdb.com/title/tt13119450/,Video Game,9.5,,2022,"Action, Adventure, Drama, Fantasy",25109,2022-11-09,"Eric Williams, Cory Barlog",,
3,tt7791150,2026-02-13,2026-02-13,,"Hollow Knight","Hollow Knight",https://www.imdb.com/title/tt7791150/,Video Game,8.9,,2017,"Animation, Action, Adventure, Fantasy",5366,2017-02-24,"Ari Gibson, William Pellen",,
4,tt22022418,2026-02-13,2026-02-13,,"Lies of P","Lies of P",https://www.imdb.com/title/tt22022418/,Video Game,8.2,,2023,"Action, Adventure, Fantasy",1874,2023-09-19,"Choi Ji-Won, Holly Reddaway",,
5,tt2984712,2026-02-13,2026-02-13,,"Warframe","Warframe",https://www.imdb.com/title/tt2984712/,Video Game,7.2,,2013,"Action, Adventure, Fantasy, Sci-Fi",1086,2013-03-25,"Steve Sinclair",,
